Date,Open,High,Low,Close,Adj Close,Volume
2020-08-01,15.060000,15.340000,14.760000,14.870000,12.309307,521317444
2020-09-01,14.880000,14.970000,14.200000,14.580000,12.069246,381876299
2020-10-01,14.580000,14.700000,14.400000,14.420000,11.936801,97354340
2020-11-01,14.420000,15.550000,14.400000,15.350000,12.706652,377799689
2020-12-01,15.350000,16.200001,15.340000,16.139999,13.404994,253217274
2021-01-01,16.139999,17.150000,16.020000,16.360001,13.587714,205064328
2021-02-01,16.299999,17.549999,16.250000,17.139999,14.235539,114847648
2021-03-01,17.139999,18.530001,16.879999,18.389999,15.406767,125679025
2021-04-01,18.400000,19.250000,18.260000,19.150000,16.043480,131196554
2021-05-01,19.150000,19.280001,17.250000,18.330000,15.356501,363387145
2021-06-01,18.400000,18.559999,18.010000,18.230000,15.494322,120957888
2021-07-01,18.240000,18.549999,18.070000,18.260000,15.519820,126218718
2021-08-01,18.280001,18.660000,17.350000,18.180000,15.451828,327918524
2021-09-01,18.150000,18.459999,17.900000,18.209999,15.736720,186642500
2021-10-01,18.139999,18.410000,17.770000,18.320000,15.831780,220569194
2021-11-01,18.320000,18.879999,18.250000,18.420000,15.918200,391622857
2021-12-01,18.360001,19.190001,18.340000,19.170000,16.816126,220295049
2022-01-01,19.200001,19.510000,18.900000,19.010000,16.675772,298542431
2022-02-01,19.010000,19.780001,18.940001,19.020000,16.684542,891499343
2022-03-01,19.120001,19.420000,18.459999,19.350000,17.235832,697736955
2022-04-01,19.270000,19.420000,18.530001,18.820000,16.763741,649835882
2022-05-01,18.820000,19.020000,17.340000,17.870001,15.917536,1115968002
2022-06-01,17.860001,18.000000,16.660000,16.660000,15.110014,857017104
2022-07-01,16.670000,16.959999,15.900000,16.900000,15.327684,844574687
2022-08-01,16.900000,17.430000,16.629999,17.030001,15.445591,1227770414
2022-09-01,16.920000,17.200001,15.970000,16.040001,14.786605,1374862803
2022-10-01,15.910000,16.280001,15.330000,15.700000,14.473171,1030376472
2022-11-01,15.740000,16.780001,15.650000,16.650000,15.348936,1005872356
2022-12-01,16.780001,16.790001,16.020000,16.170000,15.159556,989178342
2023-01-01,16.170000,17.059999,16.040001,16.879999,15.825190,548575390
2023-02-01,16.950001,17.260000,16.889999,17.100000,16.031443,1644250662
2023-03-01,17.070000,17.400000,16.750000,17.340000,16.516315,2004390836
2023-04-01,17.340000,17.709999,17.250000,17.559999,16.725864,761733359
2023-05-01,17.559999,18.440001,17.559999,18.309999,17.440237,1590374685
2023-06-01,18.309999,19.510000,18.219999,19.250000,18.615282,1365644525
2023-07-01,19.299999,22.889999,19.200001,21.860001,21.139223,2791683045
2023-08-01,21.850000,21.980000,20.719999,20.969999,20.278568,2512408566
2023-09-01,21.000000,21.100000,20.020000,20.379999,20.035244,1120629404
2023-10-01,20.500000,21.070000,19.500000,19.500000,19.170130,1187604399
2023-11-01,19.650000,20.820000,19.520000,20.590000,20.241692,1296488612
2023-12-01,20.580000,21.889999,20.389999,21.799999,21.799999,1138432741
2024-01-01,21.799999,21.870001,20.750000,21.260000,21.260000,618667314
2024-01-23,21.680000,21.709999,21.540001,21.629999,21.629999,40004306
