店名,地點(百貨名稱 樓層),種類(大項),種類(細項 for餐廳),價位($$$ 參考google/FB),
KOBE SWEETS CAFE,微風南山 3F,餐廳,甜品,$$,
九州鬆餅咖啡,微風南山 3F,餐廳,甜品,$$,
欣葉俱樂部,微風南山 4F,餐廳,中式,$$,
真心台菜,微風南山 4F,餐廳,台式,$$,
香茅廚,微風南山 4F,餐廳,泰式,$$$,
BASKIN-ROBBINS 31 冰淇淋,微風南山 4F,餐廳,甜品,$,
和牛祭,微風南山 5F,餐廳,日式,$$,
日本橋浜町酒食處,微風南山 5F,餐廳,日式,$$,
本川製麵所,微風南山 5F,餐廳,日式,$,
川師傅功夫麵舖,微風南山 5F,餐廳,中式,$,
魂麵,微風南山 5F,餐廳,日式,$$,
水炊軒,微風南山 5F,餐廳,日式,$$,
雞三和,微風南山 5F,餐廳,日式,$$,
盛合屋,微風南山 5F,餐廳,日式,$$,
大河屋,微風南山 5F,餐廳,日式,$$,
D弐拾弐,微風南山 6F,餐廳,港式,$$,
時時香,微風南山 6F,餐廳,中式,$$,
瓦城,微風南山 6F,餐廳,泰式,$$,
金色三麥,微風南山 7F,餐廳,美式,$$,
SAFFRON 46,微風南山 46F,餐廳,印度,$$$,
THE UKAI TAIPEI,微風南山 46F,餐廳,日式,$$$,
MiraWan,微風南山 47F,餐廳,法式,$$$,
SMITH & WOLLENSKY,微風南山 47F,餐廳,西式,$$$$,
和牛47,微風南山 47F,餐廳,日式,$$$,
CE LA VI,微風南山 48F,餐廳,酒吧,$$$$,
但馬屋鍋物,微風信義 4F,餐廳,火鍋,$$$$,
究濃老饕牛肉麵,微風信義 4F,餐廳,中式,$$,
平城苑燒肉,微風信義 4F,餐廳,日式,$$$,
飯BAR STATION,微風信義 4F,餐廳,中式,$$,
寬巷子,微風信義 4F,餐廳,中式,$$,
犇鐵板燒,微風信義 4F,餐廳,中式,$$$,
樂天皇朝,微風信義 4F,餐廳,港式,$$,
MORTON'S THE STEAKHOUSE,微風信義 45F,餐廳,西式,$$$$,
麻辣45,微風信義 45F,餐廳,中式,$$$,
IN PARADISE 饗饗,微風信義 46F,餐廳,自助式,$$$,
SEA TO SKY,微風信義 47F,餐廳,西式,$$$,
TGI FRIDAYS,微風松高 3F,餐廳,美式,$$,
饗泰多,微風松高 3F,餐廳,泰式,$$,
TEXAS ROADHOUSE,微風松高 3F,餐廳,美式,$$,
海壽司 HI SUSHI,微風松高 3F,餐廳,日式,$$,
掌門精釀啤酒,微風松高 4F,餐廳,美式,$$,
